Time,[A],[B]
0,1,100
1,100.403,2.73314e-12
2,67.3022,3.7676e-14
3,45.1141,-3.3934e-14
4,30.2409,5.19643e-14
5,20.2711,-9.56655e-14
6,13.5881,-2.12444e-14
7,9.10837,-2.80023e-14
8,6.10553,6.21233e-15
9,4.09266,1.03302e-15
10,2.74339,3.6384e-16
11,1.83895,3.42343e-16
12,1.23269,3.84174e-16
13,0.826294,4.72928e-16
14,0.553882,6.3561e-16
15,0.371278,9.13827e-16
16,0.248875,1.37445e-15
17,0.166826,2.13087e-15
18,0.111827,3.37124e-15
19,0.0749595,5.40666e-15
20,0.0502469,8.7504e-15
21,0.0336815,1.42488e-14
22,0.0225773,2.32976e-14
23,0.015134,3.81974e-14
24,0.0101446,6.27418e-14
25,0.00680016,1.03185e-13
26,0.00455828,1.69837e-13
27,0.00305551,2.79699e-13
28,0.00204817,4.60798e-13
29,0.00137293,7.59344e-13
30,0.000920299,1.25152e-12
31,0.000616895,2.06294e-12
32,0.000413517,3.40071e-12
33,0.000277188,5.60625e-12
34,0.000185805,9.24252e-12
35,0.000124549,1.52377e-11
36,8.34874e-05,2.51219e-11
37,5.59633e-05,4.14182e-11
38,3.75133e-05,6.82862e-11
39,2.51459e-05,1.12584e-10
40,1.68558e-05,1.85619e-10
41,1.12988e-05,3.06033e-10
42,7.57379e-06,5.04562e-10
43,5.07686e-06,8.31881e-10
44,3.40312e-06,1.37154e-09
45,2.28118e-06,2.26129e-09
46,1.52912e-06,3.72824e-09
47,1.025e-06,6.14683e-09
48,6.87077e-07,1.01344e-08
49,4.60561e-07,1.67088e-08
50,3.08723e-07,2.75483e-08
51,2.06943e-07,4.54195e-08
52,1.38718e-07,7.48842e-08
53,9.29855e-08,1.23463e-07
54,6.233e-08,2.03557e-07
55,4.17811e-08,3.35609e-07
56,2.80067e-08,5.53327e-07
57,1.87734e-08,9.12282e-07
58,1.25842e-08,1.5041e-06
59,8.43545e-09,2.47984e-06
60,5.65446e-09,4.08857e-06
61,3.7903e-09,6.74092e-06
62,2.54073e-09,1.11139e-05
63,1.70311e-09,1.83238e-05
64,1.14164e-09,3.02108e-05
65,7.65275e-10,4.98092e-05
66,5.12992e-10,8.21216e-05
67,3.43883e-10,0.000135396
68,2.30528e-10,0.00022323
69,1.54545e-10,0.000368044
70,1.03615e-10,0.000606803
71,6.94769e-11,0.00100045
72,4.65959e-11,0.00164946
73,3.12609e-11,0.00271951
74,2.09844e-11,0.00448372
75,1.4099e-11,0.0073924
76,9.48719e-12,0.012188
77,6.3998e-12,0.0200947
78,4.33489e-12,0.0331305
79,2.95615e-12,0.054623
80,2.03855e-12,0.0900583
81,1.43186e-12,0.148481
82,1.03669e-12,0.244804
83,7.89055e-13,0.403614
84,6.52171e-13,0.665448
85,6.17503e-13,1.09714
86,7.31594e-13,1.80888
87,1.25505e-12,2.98234
88,3.97413e-12,4.91704
89,3.45705e-11,8.10684
90,1.52695e-09,13.3659
91,1.05383e-06,22.0367
92,0.0653462,36.28
93,47.9745,0.00674799
94,32.1647,7.82903e-08
95,21.5606,4.54269e-11
96,14.4525,3.4951e-13
97,9.68782,3.67939e-14
98,6.49395,6.25131e-14
99,4.35302,1.08737e-14
100,2.91792,4.50958e-15
101,1.95594,3.37863e-15
102,1.31111,3.46379e-15
103,0.878861,4.13294e-15
104,0.589118,5.48418e-15
105,0.394897,7.81622e-15
106,0.264708,1.1688e-14
107,0.177439,1.80493e-14
108,0.118941,2.8481e-14
109,0.0797283,4.55964e-14
110,0.0534434,7.37084e-14
111,0.0358242,1.19929e-13
112,0.0240137,1.95987e-13
113,0.0160968,3.21215e-13
114,0.01079,5.27491e-13
115,0.00723277,8.67369e-13
116,0.00484827,1.4275e-12
117,0.00324989,2.35073e-12
118,0.00217846,3.87259e-12
119,0.00146027,6.38138e-12
120,0.000978846,1.05173e-11
121,0.00065614,1.7336e-11
122,0.000439824,2.85776e-11
123,0.000294822,4.71114e-11
124,0.000197625,7.7668e-11
125,0.000132472,1.28047e-10
126,8.87987e-05,2.11107e-10
127,5.95235e-05,3.48049e-10
128,3.98998e-05,5.73829e-10
129,2.67456e-05,9.46075e-10
130,1.79281e-05,1.55981e-09
131,1.20176e-05,2.57168e-09
132,8.05562e-06,4.23997e-09
133,5.39984e-06,6.99052e-09
134,3.61962e-06,1.15254e-08
135,2.4263e-06,1.90022e-08
136,1.6264e-06,3.13294e-08
137,1.09021e-06,5.16534e-08
138,7.30787e-07,8.51622e-08
139,4.89861e-07,1.40409e-07
140,3.28364e-07,2.31495e-07
141,2.20109e-07,3.81672e-07
142,1.47543e-07,6.29271e-07
143,9.89011e-08,1.03749e-06
144,6.62954e-08,1.71054e-06
145,4.44392e-08,2.82021e-06
146,2.97885e-08,4.64975e-06
147,1.99679e-08,7.66614e-06
148,1.33849e-08,1.26393e-05
149,8.97223e-09,2.08388e-05
150,6.01433e-09,3.43573e-05
151,4.0316e-09,5.66457e-05
152,2.70254e-09,9.3393e-05
153,1.81165e-09,0.000153979
154,1.21448e-09,0.000253869
155,8.142e-10,0.000418559
156,5.45893e-10,0.000690088
157,3.66054e-10,0.00113776
158,2.45518e-10,0.00187586
159,1.64736e-10,0.00309276
160,1.10603e-10,0.00509911
161,7.4336e-11,0.00840701
162,5.00468e-11,0.0138608
163,3.37896e-11,0.0228527
164,2.292e-11,0.0376777
165,1.56671e-11,0.06212
166,1.08461e-11,0.102419
167,7.66724e-12,0.16886
168,5.61023e-12,0.278403
169,4.34522e-12,0.45901
170,3.69617e-12,0.756779
171,3.66956e-12,1.24772
172,4.70098e-12,2.05714
173,9.17473e-12,3.39166
174,3.59555e-11,5.5919
175,4.44165e-10,9.21948
176,3.56499e-08,15.2004
177,6.37329e-05,25.0611
178,13.6768,30.3403
179,39.3223,0.000121733
180,26.3587,1.20216e-08
181,17.6687,2.93572e-11
182,11.8437,6.23348e-13
183,7.93908,5.92602e-14
184,5.32173,-5.83736e-15
185,3.56726,-1.5383e-15
186,2.39121,-1.32082e-15
187,1.60287,-1.21238e-15
188,1.07444,-1.34782e-15
189,0.720216,-1.7091e-15
190,0.482775,-2.35817e-15
191,0.323614,-3.45049e-15
192,0.216925,-5.25143e-15
193,0.145409,-8.20599e-15
194,0.0974705,-1.30516e-14
195,0.0653364,-2.10061e-14
196,0.0437963,-3.40782e-14
197,0.0293575,-5.55803e-14
198,0.0196789,-9.09736e-14
199,0.0131912,-1.49262e-13
200,0.00884232,-2.45291e-13
